Number,REVENUE,COGS,PREPAYMENT,OTH_PAYABLE,C_INF_FR_FINAN_A,SURPLUS_RESER,C_FR_OTH_INVEST_A,T_NCA,OTH_NCA,MINORITY_GAIN,END_DATE_REP,RETAINED_EARNINGS,SELL_EXP,PUBLISH_DATE,T_LIAB,T_COGS,T_PROFIT,T_COMPR_INCOME,OPERATE_PROFIT
2102183,90736582000,57008377000,402525000,2811724493,45937925000,2775521000,65000000,38634961000,5824108000,280192000,7,11680365000,7868722000,7,1.03E+11,84094286000,7161670000,5826110000,7552182000
1812955,10843784577,8169123797,1211495154,1158221268,5855694853,358183188.5,3306314727,7643291748,180820551.6,50870217.66,7,4041679370,490627552.3,7,13019968898,10278010420,1350281298,1560055304,1347059666
2242597,225085720.9,151516428.6,5561494.27,201514917,652845619.3,157709529.8,84000000,2630123737,44564165.9,1210192.68,7,-1828706872,7223809.97,7,2828849686,309006262.7,7630326.81,7210371.05,-41722806.69
708320,4655911058,3821380156,195362885.4,278327240.7,1756087737,91411590.06,544881840.3,2169012228,223386775.4,23063102.65,7,1072371800,155672858.4,7,4201807993,4462661071,395551932.1,345955084.5,410100040.3
4616010,74933086000,66337117000,364422948,4301626346,47909797000,2238368089,3262086928,1.17E+11,4250658887,1039969000,7,11115149885,2857489000,7,1.01E+11,76906488000,4055803000,4146539000,3976839000
3135575,3238064437,2002579915,105148420.1,148599698.3,1183788911,32782695.41,523374785,1820408009,78255983.79,-311722.09,7,417191094.8,859207665.3,7,2232496331,3158114666,119943556.2,66296032.59,124105870.5
4057401,43307395375,30314615495,879868459.9,4044320832,42838417437,3555367355,1375000000,28885909450,937321.93,-96341389.32,7,17430361239,3780017354,7,52534858896,38804337704,5033900267,4271258016,5013923090
1205206,24887768960,21868365544,377820075.3,2823365061,14615613571,324619555.3,284551052.1,24584867919,3341953100,-1634737.12,7,2039310549,246257641.8,7,19742241120,23213898846,1905883991,1719776368,1897648284
932007,2.78E+11,1.98E+11,2246177000,10353572917,20015594000,6447658000,1054345267,85472727000,4947603000,1065922000,7,72713631000,34611231000,7,1.94E+11,2.52E+11,29929114000,25625184000,29683092000
1165728,1.74E+11,1.36E+11,996710182.2,6119334671,33730523710,973728220.8,57417402.78,1.11E+11,687720493.2,2802051738,7,37282373385,11254073578,7,1.67E+11,1.61E+11,14351650141,11995229089,14155892682
2777010,10156082886,8323848014,549768801.7,85077364.11,500000000,525553594.3,276603033.3,2759493732,99787594.19,68144229.15,7,5784131682,374680796.1,7,7065748658,9613874812,558921224.7,494460357.9,550916740.5
2282940,34507031965,21715561422,701468150.1,3252705354,21672376494,1014639450,53400000,43326523310,170710632.1,2204036815,7,6712639015,1253754735,7,31895530839,28913580754,6254017748,4894261217,6307076908
4106218,915656568.6,436412432,3719982.56,30403330.18,9836094.18,81296208.87,10000000,492717104.4,2668512.5,-2610429.3,7,329912876.1,144641849.7,7,470038108.8,735540376.6,189005050.7,157837609.6,180038101.5
1235768,9589210837,8567036905,122785145.1,346027948.6,1468464000,63772437.47,108308942.2,2282660394,7856077.34,69387633.33,7,868623769.4,225580921.4,7,5986870422,9460048363,126891754.8,99067178.21,120493819
4787579,2064148260,843962517.5,134029647.2,272560370.1,415000000,400000000,570274772.6,7084373492,33989480.01,26145267,7,4235134113,370285398.9,7,1728295706,1492485633,445150902,364332901.3,471132635.7
1632855,2219034235,2176449763,516578755.3,80728060.78,1622651500,2973041.09,119950281,1844638723,57370143.43,-417772961.8,7,-622690131.7,51831791.46,7,2903132911,2492812759,-973314888.5,-874511326.7,-972588631.3
3562381,1002138347,1981987521,202443218.6,310789143.7,6399940853,113267211.4,106073847.5,2781273360,86800633.36,-128325170.4,7,-5150397323,370985036.9,7,6115973655,4012826365,-3087718810,-3120337083,-3038994333
3430635,17528752786,14766608632,8796367805,2475777985,13104827430,245507020,1911887337,27275385624,5619613041,-34662194.51,7,2810516709,374311613.8,7,36244879699,17574872392,-1278065948,-1557724962,-1246577776
4785950,2690565540,2152255493,141091751.3,211693836.1,3619343233,190502144.5,5285114.85,6312273266,146737168,9036104.93,7,-540606693.3,58149075.49,7,5459206066,2559431017,94506461.76,99948276.07,97171036.97
1148645,14660024897,12574359621,480473374.6,878102931.5,12989516824,388694444.8,59813423.28,17047558057,475985693.7,-58239697.81,7,-3170094235,582188732.1,7,21981693273,15086000769,134219048.6,108655424.1,30432720.31
2207678,2958622340,1548797492,83908605.83,196083552.3,23550000,466156871.3,15742482.6,3459473440,50590334.63,-1468707.32,7,8391944198,1326846121,7,1630611386,3445994177,-505208682.9,-447061242.8,-513059040
2212347,59175998918,48847898418,1033246635,1622241772,8074638961,1113818720,741390824,16869812452,403789391.4,24804263.41,7,14461004347,2859780953,7,43645468817,54969382401,4102281746,3659335898,4083146794
1791323,30395434073,21773884285,603573549.1,2880842550,34920351820,1212009110,767670000,53006476023,173875826.7,96731607.93,7,9306269617,1297196189,7,71619137055,28390081417,2048478829,1610366239,1583669508
4477992,7440286466,6814063758,138379800.1,60553568.66,2238852871,122122437,7049007.092,2212609055,151005300,45296245.36,7,2186806.56,196226794.7,7,2240170959,7250551845,259707602.1,178905360.9,250640602.6
2567508,70122114.64,34607634.1,2008443.09,146056268.6,89847867.44,28893775.85,2214911.25,67112868.44,9687316,6032026.94,7,-1201969373,3661567.7,7,253877654.9,68553774.23,-119238092.9,-124590065.9,-49402442
1589788,2319065344,2009026254,17886817.95,37293334.81,281901000,111738603,60000000,1147604785,6159565.31,2716881.95,7,241833782.5,34241419.73,7,560284032.2,2255731833,66582610.56,65140607.74,70544623.88
2162154,9384695835,3391728260,186231922.2,214069575.9,1523945478,623178143.3,88496772.62,5103260709,272505206.3,158702118.4,7,8419002908,3093219804,7,5701225544,7735144103,1727542394,1520274577,1729853089
635943,417878239.9,106900301.8,5281395.43,127878876.8,106000000,37856747.22,0,159973895.2,0,3165365.54,7,-490334522.4,151300702.6,7,255511765.1,387011303.4,27846852.08,17496139.06,28065122.05
1469850,5321631282,4190910422,177526017.2,139846910.2,219047121.1,72916158.31,56867171.31,3688943772,277557303.7,1648.65,7,2995068906,78258064.53,7,2823123109,4960898052,309863032.5,255218874.6,330053082.2
2947873,16553252895,13455692377,25270406.37,673557725.7,1731668613,410786860.2,126761536.3,3794748313,339832146.9,-12929278.33,7,884127743.4,2320362520,7,9090258903,16579810407,69778225.75,41444183.77,68708060.47
514791,12397507680,11796242115,964633606.8,341571100.7,3264548906,68344100.57,44815300,978716876,47939985.16,1016313.23,7,306789130.6,226379161.4,7,6988364997,12354268303,78513101.26,62595435.33,71619542.7
1132337,4614454470,3626978753,383209407.3,496445920.3,13001315972,237886111.2,2054560000,6178865077,240827430.3,3205549,7,1449032522,217404840.5,7,9209006060,4702756857,-356091631.6,-368890903.2,-355638164.5
3766507,19177295779,14639510489,153779087.6,743217668.6,3300582671,798361133,53606000,8841623368,231199370.9,56560383.47,7,5094985854,1902529443,7,19030844508,17891731253,1307909652,1073300465,1309698478
329681,3019284994,2310737166,7307398.88,81857341.78,11814350.24,114584668.7,203000000,642624141.3,3106623.06,40340804.57,7,432375532,211841377.4,7,774762644.4,2691529758,347812895.3,286472852.6,346165743.5
674330,1831851281,1517561449,142786528.6,48991518.86,499485150.6,768723812.5,77312974.32,3307907141,141954082.9,-2987442.4,7,1038358783,131188733.7,7,2071375403,1920595965,66716013.2,86124671.03,64297881.62
3732111,1373705459,977549176.3,49553468.97,269694746.1,369000000,96679888.49,47568291.26,565022346.4,1496795.02,-13176506.23,7,-216720105.9,191595260.1,7,1494374600,1395481688,3769459.22,-9753169.15,-29890860.87
2623104,548735086.6,66175023.44,58732733.36,68587434.62,437139445.2,55801475.49,368207283.9,1317471617,290372505.7,-18713984.52,7,456071064.3,279460377.7,7,1114369083,524756663.1,75176416.47,51961652.25,73251660.7
43064,1474124196,2211116449,22693040.23,95916346.76,6902450250,579982557.6,326200023.5,10814818349,1653638650,-5546730.38,7,-7058787918,44664178.62,7,9679828356,3307034897,-2587400365,-2598573634,-2594309395
1406066,29664673869,21191364351,577521185.5,1289451685,234618070,1412582111,1888879779,4956681534,58898123.86,-10675581.42,7,17831191286,4156302857,7,11558141282,26559856211,4726188671,4168969329,4742978173
1938875,3337576748,2560513053,7851390.78,40761022.43,2350000,836559645.4,591228676,2606958732,9861098.08,2269565.15,7,1709962479,241414766.4,7,1267788780,3036750150,352117634.6,492693260.3,354562732.9
2741396,1884877536,1560732106,27713314.32,85232298.72,652507897.2,61925516.46,2718773,1821341754,8810915.67,-1812176.042,7,1090321080,29636466.94,7,1014687085,1829053112,42633897.85,25019877.32,42988344.34
2069367,4039258216,2557168756,252645533.8,79142153.99,1528009374,49361498.48,0,5134541027,463638288.2,47285640.22,7,2007151540,120777484.7,7,2671699273,3386329381,793337464.2,722550418.1,794503900.5
1880467,29173636262,24530857150,517122502,1489786926,200000000,431607000,213415565,9224093834,128997416,279733917.4,7,8373695791,1525883194,7,13801964812,29567912530,104985427,146594828,-110593336
1840338,27563239000,18679512000,377808000,2217907508,3212045000,240162000,5208000,20146714000,246183000,55142333.13,7,5574173000,4873256000,7,22917275000,27301698000,451572000,383406000,529700000
3669616,10581105124,8721828457,121132774.3,479497336.5,2237000000,549960138.7,375187.5,4930829147,88022433.46,9842907.85,7,1653549876,345256088.2,7,6580009944,10078379479,592723565.7,545872948.2,584963748.8
3942464,1344782769,843379023.5,26513435.55,94951217.25,130475600,236263.74,33030191.19,710284944.7,31118181.78,6271398.91,7,706074944.5,30038144.82,7,1624416091,1282804905,93797701.12,97206933.61,60619164.27
3204650,473030122.6,327984896.8,8456273.98,60804691.51,170000000,134114408.5,20435099.56,828235729.6,37897960,5450065.366,7,506424419.8,20710016.23,7,405105945.7,456477979.9,74581043.91,70947556.08,74519622.09
1188084,2445289306,1201256460,318375355.7,144698048.5,5756756087,90919423.22,1945231097,4794705167,332375425.3,-35514256.19,7,135987302.4,1159846489,7,6146298977,2977426809,-123189643.2,-191776835.7,-123125161.7
4494084,15816934273,3065418048,151818448.5,705397737.5,2493834692,1464752476,424365433.2,12606230366,237539447.8,246645.38,7,12559746580,4186102154,7,9365238050,9922882478,6103816192,4667334750,6119294940
2389851,2045820801,1714533868,12968746.16,46472608.42,34000000,322228533.7,1384743544,1309143403,23730366.46,17800.9,7,728341265.4,97085117.05,7,1358291276,1991399860,26699373.52,77638427.75,26468960.93
4545875,4690972421,4445229960,46177679.06,307137096.4,648483680,138246139.8,768200807.5,7545181562,177158787,12419152.88,7,-651152543.8,260776912.3,7,5007070179,5553095896,102946335,93227179.86,87594186.77
1409661,494554059,335658926.3,74056365.01,80743420.53,102050000,43645493.24,8850000,1043612372,423500,9919403.94,7,-123046258,9950549.45,7,439777085.6,425875709.6,121943632.8,108096703,126316201.1
3156619,8784356960,6670354381,139241917.8,356648407.9,824385498.2,510100496,70025432.83,10660115251,230235982.5,34710328.33,7,12076443636,259650752.3,7,6473694875,7870700853,2450542571,2302940365,2454255437
3687866,1736701250,1373052127,57409482.35,53344899.96,713026072.3,86019272.83,216518900.1,2133814260,3383939,7376406.23,7,358806469.8,57124020.61,7,2668231557,1722208024,55383528.91,48679453.06,6044156.89
2680698,102341085.8,55849911.09,1019555.51,140534001.4,10500000,108587124.4,55000000,293186075.4,4839800,32561.82,7,-2059319937,39131388.7,7,528148319.1,122262685.6,-39682529.12,-73223234.81,-40254244.77
4362849,434269804.1,327917698.6,17579993.98,52490636.6,167500000,17826685.34,31273749.86,85445374.48,1275540,-2517638.37,7,-31417305.01,47550725.39,7,356777649,431380605.9,6058457.51,7295093.47,5719602.72
4723020,4233894763,3919863550,115982997.5,165608260.1,19219642531,193147185.3,58989906.02,9041519944,770086666.7,-186571954.7,7,-6768996402,125704356.7,7,22183703250,5812980400,-6403368661,-6482141449,-6404918915
1350121,6458337889,5158150359,36036216.41,278621219.1,2930882579,211351015.3,39465644.99,4939654088,169239572.1,15174461.74,7,644179970.7,380115868.3,7,6797437510,6237131739,150318428.8,190193239.6,180388602.6
3695289,315034457.5,147370364,401211.76,17367183.07,87775876.78,45898527.36,65378006.67,355258270.2,57082013.17,-154401.614,7,-137272523.1,58603406.09,7,224583363.7,283945719.3,53444793.71,42442308.86,52103367.52
1805450,311233895.2,309984098.3,17164335.45,120576307.4,32992705.1,9390005.14,234160390.3,843273962.2,33920802.64,-8811509.07,7,-925092147.9,20045239.44,7,1143057227,428107979.9,-318733565.1,-324026921,-304584108.5
3326302,10416961584,2426046925,197453314,263147341.3,682732079.2,256902260.3,5390299443,3344830949,4148686,60276854.48,7,6888203912,3184894221,7,4439142651,7833874460,2872841779,2157804594,2823446239
3243599,8220102898,4637994287,136738348,389514952.3,5345913734,142474754,290629913.6,6660470263,200507719.2,-3537676.25,7,403837857.3,2295206365,7,8622000586,7918142396,224245489.1,170591699.4,209956135.1
123968,4123789731,3749331752,105873357.8,96745086.88,4093199420,63499915.65,10000000,5564398616,22973946.22,-39144748.5,7,523876416.4,301230946.9,7,6247748213,4603643036,-333914401,-311472175.9,-317678958.1
1888086,1898551962,1329759953,101678750.6,254209845.1,2030337953,57395165.93,6120000,5426205701,53324920.44,13426562.74,7,493547436.2,20631474.45,7,5663781535,1805699589,80985900.97,50378783.3,82856103.39
433687,46547338.61,41344128.45,1600418.28,99428360.85,12327037,155698019.5,291623468.4,1659568672,431802087,4201506.05,7,-414464713.3,5448107.08,7,1070103816,86739494.13,16649780.44,16655423.8,-13583703.97
2978700,4761183623,4506105474,29861588.83,306181693,1176712156,346106641.3,30000000,5775803794,94910204.85,11151339.21,7,1077863193,6939881.48,7,2699224872,4735270384,105012865.9,117550411.8,113199952.9
433522,3614279528,3192588647,101798841,36305206.74,849452630,270542263.3,486739773.7,1723884150,60822092.11,-482982.8,7,1391631633,193440795.4,7,1368230127,3656743004,22764262.73,18226063.66,21930536.51
1950120,345616127.9,326936326,62964678.44,61461643.88,55708876.78,1273672.81,20000000,19606084.3,37721509.76,-1163074.14,7,-420219849.8,3714646.13,7,101511011.3,349650111.2,10431031.93,10693500.76,-11305738.93
3054799,3088379592,958646732.1,25262583.75,540551812.1,13091316.08,1774635503,1820000000,19452549478,38870153.81,-10241933.63,7,14438764484,1327230621,7,3356209814,2940995464,1479744958,1541816492,1483069613
2867738,70595245133,60232585428,623801896.1,3602219034,337719805.6,2401324256,541783042.3,48010336868,631395370.5,-2412534.35,7,31271171560,4591170886,7,53682982612,72555259150,-2242366905,-2579154492,-2107108138
887775,13158669728,10557844096,174559183.7,103332990.7,1107000000,1441028288,674589067.9,6741328832,238796341.1,37344077.68,7,-6760645521,288106491.5,7,3328429026,11623449803,1515478877,1475872975,1521050702
729418,92915235943,88772210756,4550476443,2096457171,15218474152,1152853041,61807593.07,24089468111,222002084.2,186543950,7,3995917938,313577319.5,7,27902366504,91470857054,1342018936,924631182.2,1424692022
4715729,99665118.96,85235671.04,17513580.94,91038676.41,780785166.6,65080549.79,138743670.5,1016785160,214280017,-5094451.6,7,-341118622,2667756.96,7,937144931,114377487.8,-11453702.98,-11714783.85,-12673264.09
820580,2087210112,1806374821,1220511.44,43659331.69,364887824,113604953.3,958914052.7,1719597926,32381419.42,2498371.888,7,376470282.1,19051254.56,7,426577855.8,2016221634,70863231.6,51084979.73,67220307.81
674515,3293174130,2503357950,11920163.56,85334846.86,35000000,458684893.5,311041.5,3655444989,45987225.91,9376659.35,7,1659349688,76303472.01,7,1362678155,2957026913,390900363.5,389280747.8,392844421.5
4021339,4298162317,4029089004,147978467.8,62779648.1,233084993.4,215812810.4,4264815488,587223756.6,40795846.1,22367589.16,7,189353413.9,36565643.74,7,469619538.4,4205377630,141604824.4,110115560.1,141983642.9
4462224,5727004024,3846376510,70582149.64,592047118.2,1807814713,147357596,5238404440,4616800094,24511456.17,-211028285,7,566024009,969585350.1,7,4039450098,5129102366,-1125976874,-914161238.4,-1106972602
4445491,4581171579,2642650787,49769746.86,38963570.55,6840000,251073064.3,1550856273,1664749578,17268888.26,81475442.83,7,2020995678,788469069.4,7,632470080.9,3746515494,823874219.6,619302090.2,826174106.1
1771521,1.98E+11,1.43E+11,2395610555,6971565493,21595107924,3499671557,4878025331,69608116450,948328035.1,130602235.1,7,93794643539,18309812188,7,1.71E+11,1.71E+11,29352707229,31707386683,29605107122
684783,8084642493,6411280810,64919912.99,165929131.7,2313839908,47938405.88,10800000,3349481623,96420247.71,76042826.03,7,-57515079.14,403059000.5,7,3446222534,7730978942,249927965.3,200125541.1,295859672
500838,1558030856,1233514882,57658646.8,76923861.4,92093746.06,365819077.8,94265728.47,1743096999,78655822.91,-2010268.51,7,-1302635685,42540818.49,7,1719212040,1549284899,69638497.02,52821973.83,94912008.6
1721073,7373701267,1091714066,558011071.5,359248580.2,1381464518,590414289,1924000000,3980820392,350680306.3,574174150,7,4225295540,2522444502,7,3913773135,4550431059,2820041585,2346744972,2876181418
1165233,702153143.6,578679426.4,36523269.94,155026716,1534215330,16991234.63,30466238.39,1241409171,43293785.8,-834771.26,7,-1367051108,98267355.88,7,1973013202,868329379.8,-258174062.3,-237081693.6,-257632822.9
3220876,4129630.93,4288029.81,326054.79,23824233.08,68923096.24,5751138.1,331008155.2,35594408.69,44682200.74,-1256128.2,7,-609886174.8,1266612.74,7,89880590.69,93587076.35,-207569403,-229002700.9,-204425521.1
3405575,7412062639,3795298790,92672566.93,171309177.8,1768721095,172598012.1,1007102071,4846477430,105798340.6,46647945.62,7,5446667483,133625837.7,7,4119757680,4491861014,3152043811,2375181643,3160134558
1047928,790674188,666027463.9,23971832.54,153206595.6,67750000,212588237,160300827.3,515950488.8,1838900,10854453.42,7,-1493332842,35593525.24,7,188526101.1,755209772.1,31704209.41,17980386.44,32371198.76
166534,1241311236,1109443631,13209191.15,60165388.18,408072526.1,73498392.39,30966616.16,1674377649,24089988.8,989507.9,7,-105565345.4,37415907.11,7,1428104513,1309400430,13326982.2,17099543.61,11297429
3914715,6403114683,5400167096,170071874.6,166636954.7,2230751513,397552609.1,305467449.7,3544101068,125677916.2,5274144.8,7,607261739,384220612.9,7,5215784170,6407466867,67008856.24,65103853.9,58087450.57
2887603,7693220354,4885226705,48413747.75,438133007.1,5073468418,418961033.2,301292965.8,17435294452,942270161.5,199466000.7,7,4647640936,426115943.2,7,11360908889,6660497255,1104543095,869037837,1123925029
1246192,250284379.2,199618684.8,203874359.8,237806955.4,3790220832,17921326.75,18450168.29,401984989.4,7857289.59,-14414001.71,7,-2142003437,36426335.6,7,2199065058,572513159.3,-1532274077,-1535443594,-1529169247
1802653,13911871.59,13464038.06,260000,77209129.27,57750000,15216301.45,35500000,39225642.85,718956.392,-534179.43,7,-415856869,325737.12,7,152363231.6,23840130.61,-10314395.86,-10714491.07,-10306491.94
4217767,579422666.8,435555346.1,11556666.39,6031725.288,189322478.2,13763536.21,30861008.74,434978421,106376679,22874874.17,7,66656387.03,29251891.04,7,394527387.9,531487678.5,47151881.34,36204422.33,47881254.29
3640592,1979862597,1622121963,23233511.72,50631628.42,2176279378,46988336.62,11662388.01,2726209855,12581621.71,-12386578.09,7,-1215091144,48579192.53,7,2120767328,2036485686,-1548095681,-1556917333,-1568902954
518886,11019952779,10638781561,94162765.27,341571100.7,3838109420,314160740.3,117169016.2,5177825782,79830752.05,466497.61,7,1244808697,167158480.2,7,5146994141,11389826901,-695639211.1,-745294960.7,-693257878.7
3049019,5489528085,4493531783,104480123.7,171876536.9,2530879639,64307647.61,38193901.43,4269853646,160415837.7,-1069912.67,7,1270549383,148634751.3,7,5466078746,5599237858,132170102.2,157377324.4,131694674.1
3444868,1123012451,984643955.6,3638879.63,20568142.51,79230000,27898031.73,80852973.68,417656943.7,660120,5973624.8,7,33298597.68,35081352.55,7,119895434.4,1097889588,17252197.77,26768104.81,32444179.01
2615634,79620543632,73994833713,639205988.6,2800114378,40526194049,559247505.5,108639015.5,58398652647,3834624540,819333627.2,7,9578824240,455835985.8,7,56188532916,76723600073,4771065765,4351332563,4789109186
31035,2304589570,1866878307,44902861.2,236695214,3779495114,210074379.9,35322520.78,2767768266,26570400,15271708.08,7,-1214739936,142140235.6,7,3450520274,2344706316,31442297.35,26536392.17,-4197143.86
126057,72619869343,59544529213,1018237229,5605599199,18069632412,590612518.2,392476521.1,43131012928,388245270.6,2523421.6,7,10324487127,862709265.4,7,47308430328,65676993396,6578627973,5388995172,6492422756
1264577,1.21E+11,1.06E+11,2527071511,10284163442,88816568532,2587112300,5000257063,1.52E+11,1424762936,313642822.9,7,12816020473,1330946524,7,1.63E+11,1.18E+11,3618598236,2880479413,3621165600
1020080,4475639684,3616819495,328236101.8,174233223,2446992820,36525294.91,63192272.08,3117468484,352536971.8,-19902664.42,7,382694438,522844823.2,7,2459499696,4420763676,49108019.25,13943805.97,31509989.91
451129,29143183753,25609859025,231888150.8,1337641951,3505821256,781708294.6,529946769,11857849005,125711414.4,17924645.89,7,1590855808,268294004,7,9172658903,27377126878,1941632479,1821237589,1950360458
565306,14090067143,10772781117,1667699152,784894201.7,655153680,163901988.8,17930526.5,12946611116,29540159.51,126403380.9,7,3535875786,721815153.8,7,10360960707,12544563574,1476159412,1082120458,1494327353
1851019,1.16E+11,98446269296,626985706,23834695828,75724272107,1516139709,2287178748,2.36E+11,9491581559,-2394885274,7,12381758005,2917865380,7,1.99E+11,1.16E+11,503750101,-247795750,398668981
4072673,6801381449,4790605105,56828987.59,216106289.9,4170463313,1117267352,22644079.03,7654883685,18841918.62,36940664.42,7,5372073615,168227064.8,7,3586127005,5892300065,1127504430,1020316434,1131609928
4275420,5266542220,6843158297,19592002.34,296039984.7,6127525121,99143044.95,108514554.6,18359596619,56462778.8,-4039287036,7,-7054394297,118256933.1,7,14422923683,8316086795,-9678269716,-9686352928,-9689780481
1053713,11468484012,6988600408,149396515.5,380271083.4,55000000,2113601361,1800000000,10981639989,50002595.87,33708176.8,7,3653914025,1475040220,7,4346429199,11050495387,421740011.4,246746892.1,420587684.9
4773317,3668281842,2040440976,141704454.2,195757591.9,1746074520,269707919.2,128922368.6,2732307232,42938015.33,-2302353.38,7,1628304081,205285388.1,7,3384249008,3101721199,396757970.5,287476667.7,397438574.2
346720,1214654425,959693618.3,17320257.63,49226258.82,695450000,88891261.62,738884559.9,871736654.9,16116750.5,1715436.49,7,-1295752843,110281923.5,7,1176948551,1244154800,-33045016.49,-43652416.21,-27607862.21
891966,3092491496,2294106226,43296703.71,51530135.36,806534439.9,85657546.15,1168287273,3178643324,191129460,-18671565.46,7,1672183960,32073264.28,7,1947868831,2794848632,310568125.8,262605888.8,311201121.8
2867875,7210711386,4876578494,120808642,406384451.9,380000000,132760242,4085301321,2564613036,13807011.68,8084827.742,7,2018844512,835337733.3,7,2754599136,6587200488,633726258.5,553344278.7,644154398.8
3379549,8016298035,7389735337,205736351.9,125223377.4,1644997390,371807964.4,3713378965,2085202075,69004620.09,31247101.94,7,-465705609.3,35389313.25,7,1953516164,7831559265,204376451,202858041.6,202103366.9
2503243,318364145.2,231241108.2,14978828.23,90540383.27,100000001,69225086.27,1007287342,394616774.1,35153496.53,28745310.57,7,-321539117.1,12209752.59,7,588437606.1,338102672.8,-299103090,-304669093.1,-289151530.3
1991737,5606020863,3731385337,29773518.97,324479494.8,1283791374,278949576,446866802.7,4007638073,60653860.13,23149491.82,7,1250630948,789151206.8,7,3325495155,5184991469,381392620.9,362599783,387436288.7
3027989,9728889.06,7391538.54,510831.64,62715434.98,3410000,18581177.65,43523443.07,365436274.6,5525453.986,1617666.32,7,-1926491523,1744430.18,7,360853023.9,76066057.77,-181727918.9,-181727918.9,-165080723.3
2720616,52741353582,49211414646,1291047458,1478583025,17484678972,961105529.9,0,30173185064,708502552.5,1213517.58,7,2307765665,1096688904,7,40718598353,52124252624,575815427.4,556860489,655718706.8
