TICKER_SYMBOL,ACT_PUBTIME,PUBLISH_DATE,END_DATE_REP,END_DATE,CASH_C_EQUIV,NOTES_RECEIV,AR,PREPAYMENT,OTH_RECEIV,INVENTORIES,OTH_CA,T_CA,AVAIL_FOR_SALE_FA,LT_EQUITY_INVEST,INVEST_REAL_ESTATE,FIXED_ASSETS,CIP,INTAN_ASSETS,LT_AMOR_EXP,DEFER_TAX_ASSETS,T_NCA,T_ASSETS,ST_BORR,AP,ADVANCE_RECEIPTS,PAYROLL_PAYABLE,TAXES_PAYABLE,INT_PAYABLE,OTH_PAYABLE,T_CL,DEFER_REVENUE,DEFER_TAX_LIAB,T_NCL,T_LIAB,PAID_IN_CAPITAL,CAPITAL_RESER,SURPLUS_RESER,RETAINED_EARNINGS,T_EQUITY_ATTR_P,MINORITY_INT,T_SH_EQUITY,T_LIAB_EQUITY,OTH_COMPRE_INCOME,C_PAID_OTH_FINAN_A,N_CF_FR_INVEST_A,C_FR_BORR,N_CF_OPERATE_A,C_FR_CAP_CONTR,C_PAID_INVEST,C_INF_FR_INVEST_A,C_PAID_G_S,C_PAID_FOR_OTH_OP_A,PROC_SELL_INVEST,C_FR_SALE_G_S,C_INF_FR_OPERATE_A,GAIN_INVEST,N_CHANGE_IN_CASH,FOREX_EFFECTS,C_PAID_FOR_TAXES,C_PAID_DIV_PROF_INT,C_OUTF_OPERATE_A,C_FR_OTH_OPERATE_A,C_OUTF_FR_INVEST_A,C_PAID_FOR_DEBTS,DISP_FIX_ASSETS_OTH,N_CF_FR_FINAN_A,N_CE_BEG_BAL,N_CE_END_BAL,PUR_FIX_ASSETS_OTH,C_INF_FR_FINAN_A,C_PAID_TO_FOR_EMPL,C_OUTF_FR_FINAN_A,ADMIN_EXP,A_J_INVEST_INCOME,REVENUE,T_REVENUE,T_PROFIT,OPERATE_PROFIT,ASSETS_IMPAIR_LOSS,COMPR_INC_ATTR_P,OTH_COMPR_INCOME,T_COMPR_INCOME,N_INCOME_ATTR_P,INVEST_INCOME,FINAN_EXP,SELL_EXP,COGS,N_INCOME,BIZ_TAX_SURCHG,NOPERATE_EXP,COMPR_INC_ATTR_M_S,INCOME_TAX,NOPERATE_INCOME,MINORITY_GAIN,T_COGS,FLAG
145779,4,4,4,1,11753954000,12618950.22,664374501.6,738867923.2,618637257.6,13521599776,874993780.7,41142902220,1918241000,551434000,168938722.7,835917000,222862152.4,181409000,37109126.37,246443000,9059876566,62483467000,1694734018,976202749.4,700385104.3,276599000,109256000,629905000,833603268.4,23487559278,77576964.29,13513209.64,12903940608,56961278000,1002411000,1000000000,1488936000,1099106000,5435257000,86932000,5522189000,62483467000,-51977000,1492465445,-995665000,8750769098,39389000,1134822306,2559595000,1780090000,3290866828,236196000,1507619000,3051422461,8033865000,263909000,-1574055000,-9389000,436266000,208390000,7994476000,98069000,2775755000,400000000,8562000,-608390000,11351630000,9777575000,216160000,8071043488,342195000,608390000,1218564035,30787523.56,2283746000,2283746000,1235498000,1196649000,250659000,895263000,-69245000,903671000,964508000,84424000,86281660.78,155814373.2,1087097000,972916000,92486000,4446000,8408000,262582000,43295000,8408000,1087097000,0
149266,2,2,2,1,232736662.2,75377019.22,1943827.6,729800460.2,123956784.6,945015858.2,426000000,2490640498,4449640,67227380.79,134926703.5,359873873.6,14125504.78,1741781.16,194827405.4,19380129.38,813018704.3,3303659202,191000000,273500465.2,165843357.5,9814797.24,21308634.36,283388.304,571238988.8,1239219491,111369692.5,68341191.71,910451497.9,2149670989,343222594,42336396.18,155252112.4,525793520.6,1066604623,87383590.1,1153988213,3303659202,-193058.774,7100000,-455914284.9,1033000000,-719457801.7,482336000,2334621607,1922312930,2553050800,489735392.2,1907948104,2132308585,2520309790,14311261.16,-270176414,-1905093.578,122910421.4,19704327.42,3239767592,388001204.7,2378227215,101000000,53565,905195672.6,502913076.3,232736662.2,43588104.41,1033000000,74070977.73,127804327.4,50462566.67,5941967.356,2036736478,2036736478,78259457.32,83153055.24,13203937.47,56221971.11,286508.494,47450547.88,56221971.11,11559199.4,27312078.28,224692317.9,1608212163,47450547.88,39608303.56,6897391.56,-8771423.23,30808909.44,2003793.64,-8771423.23,1963491367,0
151683,2,2,2,1,49593788876,183649432.7,582551419.3,274351062.4,68554553.83,3849626434,1465101268,92085871910,45071362676,2173197301,24572517.99,2188056336,410544800,120037136.3,278387725.9,1092388390,63269610834,4.34E+11,4825921212,2661303333,629326251,706698100.7,704003261.9,3625460636,2888688194,1.24443E+11,435167645.3,81302600,8430159142,4.07E+11,2968933194,10354355056,1578087548,7947454104,26589991834,266142754.9,26856134589,4.34E+11,-1334229166,10000000,-62391463000,4585045232,66631815000,40000000,6.29E+11,5.67E+11,244820680.6,1756141000,5.67E+11,251387948.8,1.18E+11,151471000,2504646000,-49519000,2101679000,1716187000,51500656000,117320000,6.3E+11,38898903200,10500000,-1686187000,11640749000,14145395000,548250000,40000000,1624911000,1726187000,529813387.5,372084000,10478294000,10478294000,5608521000,5561689000,820963000,3177051000,-1319803000,3210767000,4496857000,372477000,6174889.056,4154658061,4916605000,4530570000,840371000,17508000,33716000,1077951000,64340000,33713000,4916605000,0
157110,2,2,2,1,10025772590,360693332,283336685.9,40900339.37,395099210.3,83486511.42,1858297497,21035933489,4694659035,271545628.7,189925928,294572273.5,48843519.87,45175060.73,30275187.17,68381695.43,8624762982,31576225004,29367523.2,136258276.4,220049364.9,340838779.1,239597145.5,21060977.04,405210528.2,14103289488,154954152.1,7946163.69,2805576153,18882882991,2371233839,5323808877,819247642.7,2560593040,12681077603,12264409.67,12693342013,31576225004,9570122.96,277860535.1,-314140708.4,29367523.2,-2326092131,2079057803,427126991.7,371873426.4,493026358.8,440305040.1,92229179.48,936244776.1,6655655519,277802998.8,-1119162059,-6852017.74,367778665,501444725,8981747650,388007906.8,686014134.8,2000000000,14207652.59,1527922798,13435782246,12316620187,127737450,4029367523,920180495.1,2501444725,944166756.4,111425367.6,3047682605,3047682605,1277171510,1268327312,57875635.39,1038811625,32257382.39,1039166196,1006554243,768656390.5,19447433.75,59657043.21,1779355293,1006908814,148567060.7,2703617.61,354570.82,270262696.4,11547815.83,354570.82,1779355293,0
169426,3,3,2,1,329088388.9,7369017,295843175.6,44542377.23,37673.23,453802259.6,0,1130682892,10100000,0,18179082.57,5134655.89,14286537.54,26591162.46,4712576.36,6713965.49,40947735.28,1171630627,0,73547895.77,119757735.9,44045.2,24503056.02,0,9286966.46,227139699.3,5300000,0,5300000,232439699.3,96000000,578316795.8,26044024.93,224471179.9,924832000.6,14358926.86,939190927.5,1171630627,0,3888745.678,-15642410.43,0,-70274989.54,7200000,10000000,5203546.81,419242755.3,36524334.25,63310645.63,433865124.9,455624330.1,5736820.986,-126893896.2,-176496.2,58701032.49,48000000,525899319.6,21759205.2,20845957.24,0,0,-40800000,455982285,329088388.9,10845957.24,7200000,11431197.62,48000000,17723664.59,0,481712435.4,481712435.4,153316222.8,141141908.3,11042723.77,114740968.6,0,114574367.6,114740968.6,0,-6832005.42,27953680.13,287634158.6,114574367.6,3048305.36,50000,-166601,38741855.17,12224314.43,-166601,340570527,0
172332,4,4,4,1,80003553.51,3488118.32,4941564.48,65261923.13,15814526.55,320293874.7,8416453.346,486315442.4,10000000,63692658.41,33641727.77,404159932.2,102792120,121225956.6,5057896.91,2240553.65,679118187.1,1165433629,394290000,242198419.8,55358944.44,6938191.37,11911334.52,31862.85,13420212.2,843558965.2,4862138.07,62742953.35,69862138.07,913421103.3,60000000,59575746.29,2020975.54,130415804.4,252012526.2,23122075.01,252012526.2,1165433629,139149057.4,81849500,-199992541.7,470290000,154844529,88597926.04,55193108.52,24419414,1117658389,84973647.83,6617782.596,1482692111,1524368458,1450000,22457027.14,1416899.406,70758957.24,28736830.19,1369523929,41676347.45,224411955.7,370590000,22969414,67605039.81,57546526.37,80003553.51,224411955.7,548781370,96132935.23,481176330.2,30372604.55,1665085.052,1290007732,1290007732,70867961.93,42362728.28,712067.58,53283428.29,2611802.406,53283428.29,53283428.29,1450000,28153134.57,131498695.9,1043837107,53283428.29,14521394.57,54984.11,19208272.71,17584533.64,28560217.76,16705443.71,1249095004,0
190745,2,2,2,1,55679623473,25400018.08,628055386,98502162.52,604493705.2,16953743128,5222050199,1.17277E+11,35704482197,4297707038,432348229.6,3637403628,735534463.4,1915891288,52464824.04,1323254390,58146304422,2.71E+11,2525220343,1704366807,759532732.3,3295862334,2203344457,890887986.5,3659540168,1.07405E+11,5128037.204,872286123.9,38771477959,1.82E+11,11016908400,34094111853,6439142433,25632130708,87688484741,1713610412,89402095153,2.71E+11,-337283765.8,73174624.5,4770484449,1162000000,-18609569344,355005724.3,3061377296,8284594426,21442029050,3849395289,7654030005,12886273450,34728045850,628106256,6106948834,-351822372.9,1831935182,4018382920,53337615194,2552294653,3514109977,888763054.4,4369559.974,20297856101,59687284033,65794232867,332968219.5,25278176699,4860289138,4980320598,2148535684,211013960.3,16115272157,16115272157,6846091167,6859623163,352784351.8,4619078648,-646866123.4,4661180752,5243916979,6035887139,658489174.7,846758657.8,9255648994,5308046875,772601362.1,66999594.73,42102104.07,1538044291,53467598.43,64129896.37,9255648994,0
192356,2,2,2,1,1093073595,119947454.2,76995253.79,237034127.1,13906138.45,345620151.8,142894125.8,1886576720,542711625,110344468.7,36978379.22,1036237290,1558737239,213675406.9,60360089.83,4529407.43,2936548912,4823125633,770000000,368974622.5,166216331.9,31647025.83,-93099121.2,5358042.694,67897856.28,1489565123,9496741.25,86024346.44,296832399.7,1786397522,591484352,640855127.6,413135033.4,1292912745,2938358289,98369820.88,3036728110,4823125633,-28968.49,2639705.03,-77809807.4,1280000000,167158967,98300000,38068175,553874349.6,5255761354,143058074,537295100,5843559009,5852956641,5380604.93,289764182.4,-969.38,64672756.6,174854402.8,5685797674,9369467.54,631684157,1002389900,36908.52,200415992.2,803309412.6,1093073595,592840501.8,1380300000,222305489.2,1179884008,169294934.4,14342463.14,5767901400,5767901400,203547839.4,200786128.2,9769824.08,170253508.5,-1040.1,169180688.1,170254547,96977595.9,39218165.98,72451627.13,5368397685,169181728.2,4960631.2,6864528.74,-1072820.37,34366111.2,9626239.92,-1072818.81,5664092868,0
245896,2,2,2,1,642456901.4,88593407.1,110678121.6,19318482.49,185950706.4,108249568.9,4451869.11,1071105650,59286792.6,28392599.4,11043463.11,436938197.4,263448.71,72013608.08,1500149.16,15485088.72,465230347.1,1536335997,145464557,48735252.76,243540338.2,21344471.99,15711738.43,191901.276,60855676.96,390187478.4,8166973.544,51652640.18,3914282.684,390187478.4,331422000,319934892.3,121070386.5,334534845.4,1106962124,39186394.32,1146148519,1536335997,155470016.9,58547684.15,-36415599.12,239753432.7,-144713042.8,12118484.37,100563857.4,264184.25,1269507776,30228650.79,41396098.18,1370926448,1400678100,6380253.334,-194716943.9,-1648340.108,78867214.33,13588302,1545391143,29751652.02,36679783.37,80927412,264184.25,-13588302,837173845.3,642456901.4,36679783.37,146924548.1,166787502.1,13588302,58599626.43,6402852.504,1240325128,1240325128,97424604.17,90808580.7,7702581.2,67730709.67,-5396774.414,72833378.47,67730709.67,4580505.338,-18358532.8,24906403.34,1052128712,72833378.47,24537757.27,668706,5102668.8,24591225.7,7284729.47,5102668.8,1149516547,0
294006,3,3,2,1,4.23E+11,558626249.1,638107446.3,114590615,280561157.1,34425073202,2785385155,3.516E+11,2.64E+11,1396000000,7578600000,7276000000,3481000000,530000000,94030699.27,10107000000,2.07705E+11,3.68E+12,15082600000,1767140162,1287209580,9213000000,12103000000,26317000000,6546440286,4.32547E+11,50581399.94,3762000000,45007994486,3.48E+12,19052000000,50861000000,9824000000,92368000000,2E+11,1402000000,2.01E+11,3.68E+12,-4619000000,139000000,-3.26E+11,28274600000,2.09E+11,919000000,1.23E+12,9.1E+11,11696037609,11751000000,8.75E+11,6616246387,6.51E+11,32186000000,-1.28E+11,-195000000,22127000000,10413000000,4.42E+11,2950000000,1.24E+12,4080000000,99000000,-10713000000,2.55E+11,1.27E+11,4144000000,3919000000,15526000000,14632000000,2608982381,248000000,1.09E+11,1.09E+11,54261000000,54078000000,18188000000,37432000000,-3785000000,37726000000,41211000000,22000000,499934010,5523181874,55209000000,41511000000,7831000000,130000000,294000000,12750000000,313000000,300000000,55209000000,0
301092,2,2,2,1,691044279.9,30643016.69,306524989,307673475.2,57646213.11,203322670.2,66289291.42,1663143935,6285263.51,846960214.6,5587802.26,212909531.8,1288787.9,22681182.23,2237147.86,764588.04,1103754305,2766898240,1029482538,357423702.6,311024762.4,10436716.26,7800572.31,4264964.19,114088904.6,2324462075,50022602.43,4598126.01,80787626.01,2405249701,258692460,208423546.1,105934416.2,-179696082.8,395623398.1,-33974859.3,361648538.8,2766898240,2269058.49,52405480.92,483657802.2,2271562159,-74615254.97,11472410.38,31309487.6,485815997.4,5711166203,368290855.3,2759113.7,5826616345,6109323568,29747060,218385867.7,-162026.78,34378681.15,153212765.3,6183938823,84199299.05,2158195.23,2323844047,38241660,-190494652.8,357308412.2,575694279.9,2072962.01,2286562159,70103083.94,2477056812,135596990.9,82803688.8,5165541177,5165541177,127192359.7,86516992.33,128305609.3,118702754.3,26955,125461672.9,118675799.3,327749824.6,96953980.94,53405592.99,4987955832,125434717.9,4556003.13,11736193.96,6758918.57,1757641.84,52411561.36,6758918.57,5406774010,0
311190,4,4,4,1,77020215.3,25937306.85,144271101.5,4418121.94,1107456.17,37159521.63,2259.98,289915983.3,13501830.91,41218372.29,22475783.73,1961160,20893764.13,1292682.96,1424118.41,1459003.2,6566987.96,296482971.3,49954055.14,85730452.1,3702796.94,5513541.08,8179153.38,156080.788,3675651.7,162199269.6,380000,360322.868,1311133.594,162199269.6,42000000,31270950.62,3847350.27,57165400.76,134283701.7,16509524.99,134283701.7,296482971.3,2940481.75,5632356.81,-2446921.53,98818585.39,46158547.64,64654117.13,29839519.2,29369.39,596932454.7,28316418.37,140228820.2,722409816.5,725224772.2,2036040.964,37449688.47,-407192.5,30465960.88,6506599.57,679066224.6,2814955.74,2476290.92,112228977.1,29369.39,-5854745.14,21024829.83,58474518.3,2297535.08,118513188.4,23351390.65,124367933.5,20405940.52,1715485.128,802022266.4,802022266.4,53120321.89,50698768.99,3306228.62,40435927.41,1891586.562,40435927.41,40435927.41,-178755.84,5760053.83,35927564.54,683759149.6,40435927.41,2115806.27,67271.89,869870.29,12684394.48,2488824.79,869870.29,751274743.4,0
