TICKER_SYMBOL,ACT_PUBTIME,PUBLISH_DATE,END_DATE_REP,END_DATE,CASH_C_EQUIV,NOTES_RECEIV,AR,PREPAYMENT,OTH_RECEIV,INVENTORIES,OTH_CA,T_CA,AVAIL_FOR_SALE_FA,LT_EQUITY_INVEST,FIXED_ASSETS,CIP,INTAN_ASSETS,GOODWILL,LT_AMOR_EXP,DEFER_TAX_ASSETS,OTH_NCA,T_NCA,T_ASSETS,ST_BORR,AP,ADVANCE_RECEIPTS,PAYROLL_PAYABLE,TAXES_PAYABLE,OTH_PAYABLE,T_CL,DEFER_REVENUE,T_NCL,T_LIAB,PAID_IN_CAPITAL,CAPITAL_RESER,SURPLUS_RESER,RETAINED_EARNINGS,T_EQUITY_ATTR_P,MINORITY_INT,T_SH_EQUITY,T_LIAB_EQUITY,C_PAID_OTH_FINAN_A,N_CF_FR_INVEST_A,C_FR_BORR,N_CF_OPERATE_A,C_FR_CAP_CONTR,C_PAID_INVEST,C_INF_FR_INVEST_A,C_PAID_G_S,C_PAID_FOR_OTH_OP_A,PROC_SELL_INVEST,C_FR_SALE_G_S,REFUND_OF_TAX,C_INF_FR_OPERATE_A,GAIN_INVEST,N_CHANGE_IN_CASH,FOREX_EFFECTS,C_PAID_FOR_TAXES,C_PAID_DIV_PROF_INT,C_OUTF_OPERATE_A,C_FR_OTH_OPERATE_A,C_OUTF_FR_INVEST_A,C_PAID_FOR_DEBTS,DISP_FIX_ASSETS_OTH,N_CF_FR_FINAN_A,N_CE_BEG_BAL,N_CE_END_BAL,PUR_FIX_ASSETS_OTH,C_INF_FR_FINAN_A,C_PAID_TO_FOR_EMPL,C_OUTF_FR_FINAN_A,ADMIN_EXP,A_J_INVEST_INCOME,REVENUE,T_REVENUE,T_PROFIT,OPERATE_PROFIT,ASSETS_IMPAIR_LOSS,COMPR_INC_ATTR_P,T_COMPR_INCOME,N_INCOME_ATTR_P,INVEST_INCOME,FINAN_EXP,SELL_EXP,COGS,N_INCOME,BIZ_TAX_SURCHG,NOPERATE_EXP,COMPR_INC_ATTR_M_S,INCOME_TAX,NOPERATE_INCOME,MINORITY_GAIN,T_COGS,FLAG
151387,4,4,4,1,119727541.4,33709600,273086689.4,19925451.82,977800.04,15038357.09,2543428.57,465008868.3,9271704,38427087.12,30093747.25,1028623.6,15715128.98,38040426.8,16450631.36,5177497.55,5643769.654,68465628.74,533474497,34624268.03,75196508.08,31474092.12,4268000.272,17874696.46,5776154.37,152882401.2,3110000,3110000,155992401.2,85170000,129620602.4,9414475.71,153277017.7,377482095.9,10763673.59,377482095.9,533474497,440831.74,-5518307.6,50158800,23863796.2,92915335,12976600,34050,115871958.2,31765989.35,48606352.11,191028580.2,5802267.72,219394086.3,2279434.858,17840345.45,-64311.41,16593188.58,11486791.11,195530290.1,22563238.37,5552357.6,37220000,34050,-440831.74,97769106.06,115609451.5,5552357.6,65141346,31299154.02,440831.74,46496164.9,6010805.888,244146477.6,244146477.6,53709634.37,46207473.48,5676974.22,47036961.24,47036961.24,47036961.24,3942915.016,82759.72,20345819.29,123345933.5,47036961.24,1991352.49,5316.48,1582629.442,6672673.13,7507477.37,1582629.442,197939004.1,0
156252,4,4,4,1,311633272.7,7108613.872,823693.94,13170294.98,2210711.98,202091205.9,4074127.37,331912101,20020000,51645306,170818037.5,342440509.5,1106485982,1033998163,8638746.404,11252495.16,86047459.45,2448595505,2780507606,50759600,67302144.44,219672448.1,12772389.27,32513244.55,367365741.4,774926955,7416633.08,466116633.1,1241043588,198000000,308143276.8,43744930.23,989575810.9,1539464018,422446562.3,1539464018,2780507606,24843836.51,-360959106.8,130000000,617100558.9,63091175.42,320006540.9,1133896.12,64608881.73,27383890.07,353936848.3,741407569.3,9645851.932,866043301.3,16191151.97,189143591.6,-3971624.254,115938967.4,41117860.45,248942742.5,124635732.1,362093002.9,155880000,1133896.12,-66997860.45,122489681.1,311633272.7,362093002.9,130000000,41011003.24,196997860.5,37016408.81,14594712.21,735662289,735662289,358347996.3,368509949.3,-207524.17,304573952.5,304573952.5,304573952.5,20022451.95,36909818.01,1931158.8,221769186.3,304573952.5,69733291.97,15412441.04,3958983.378,53774043.84,5250488.05,3958983.378,367152339.7,0
162606,3,3,2,1,107049362.1,18679895.45,133110216.1,4512196.58,12926554.69,115046050.2,127375.33,391451650.4,1947164.49,37962377.06,56776172.83,66433307.81,29284186.95,126286638.3,701575,1822325.47,5423581.656,292007342.4,683458992.8,20000000,109971137,18223172.37,1268057.77,1022385.01,3636262.43,177044347.6,8384306.13,38384306.13,215428653.7,116961760,272440643.9,7716227.39,70994889.05,468030339,22905272.24,468030339,683458992.8,12372180.37,-23389389.87,165000000,6964222.73,43719870.96,7099470.546,7757868.23,275262336.7,42283383.99,9442507.976,315745012.8,8308390.47,366649323.6,893600.872,-30992879.63,2075.28,5077278.47,14569787.77,359685100.9,42595920.28,31147258.1,165000000,313737.61,-14569787.77,118476435.8,87483556.15,31072075.86,165000000,37062101.67,179569787.8,30490345.7,789392.39,321366409.7,321366409.7,22032985.86,15591571.99,3743102.5,19090467.97,19090467.97,19113536.25,138439.784,113945.47,13154356.23,257624232.5,19113536.25,648855.37,110180,4133975.276,2919449.61,6551593.87,4270176.018,305774837.7,0
175529,3,3,2,1,218976659.4,300000,147472580.1,5487073.15,7151167.55,471127676,102119941.6,953214431.2,296233975.1,128867416.6,102062206.5,402685904.3,140253667.4,31239177.75,25049.98,11595383.4,13000000,1323479324,2276693755,120000000,30609021.52,32473539.13,19885049.42,18880664.53,66555371.05,356968930.1,25817433.61,638733429,995702359.1,865000000,11741350.74,28753390.77,341212426.9,1262842143,18149252.93,1280991396,2276693755,51329.92,-798777473,355450000,-63737960.95,9800000,354000000,3368169.2,297988360.4,73095931.89,241995240.9,349959863.3,11391314.69,465269720.9,2993563.84,-555486842.3,-118366.85,26931488.56,38601711.61,529007681.8,115309857.6,802145642.2,19450000,374605.36,307146958.5,773463341.3,217976499,316677708.9,365250000,130991901,58103041.53,156704846.4,11355885.39,382845897.6,382845897.6,119362583.6,107706762.4,6124849.94,119758849.7,119620510.2,108444312.3,57173469.46,23796885.13,53327763.25,96151305.24,108305972.8,8449988.79,216798.6,-138339.5,11056610.8,11872619.81,-138339.5,344555638.7,0
193197,3,3,2,1,1221745537,51959892.07,1140516250,136345455.5,140974417.1,112908132.7,4063963.31,2812131823,15000000,110377846.9,28691537.4,5669753.24,474515056,374336612.5,12148691.86,24429590.45,0,1052504684,3864636507,25000000,643649085.1,1014410386,12515291.99,78471179.09,67379148.22,1963441752,20791899.75,21137930.03,1984579682,274411744,1047407104,56886936.3,478350101.7,1857055886,23000939.32,1880056825,3864636507,0,-142107804.4,0,389309826,152356382.4,60000000,110602.65,2752695151,422037422.1,0,3636854803,14163241.65,3976328886,97402.65,357426365,0,127346791.8,42132039.1,3587019060,325310841.3,142218407,0,13200,110224343.3,696873552.3,1054299917,54303538.3,152356382.4,284939695.5,42132039.1,322711349,1826062.69,3366376085,3366376085,192621377.3,162102932.7,30586382.33,176809800.7,179966752.5,176809800.7,1923465.34,-7635441.51,45360469.47,2788463318,179966752.5,26710539.89,1712332.97,3156951.83,12654624.84,32230777.6,3156951.83,3206196617,0
232852,3,3,2,1,295244947.8,5404158.108,906205,7000,113329087.5,32594922.44,70315667.89,442082162.8,114102100.8,108856579.5,19285081.13,104177802,103625836.8,38118789.56,2683377.706,4450891.004,2628621.534,500310645.3,942392808.1,35000000,9301472.96,4469215.4,1232677.33,6698328.53,86648269.06,151596070.9,1601811.106,1748255.07,153344326,457784742,7851309.75,95402744.52,267529628.8,829384689.5,-40336207.39,789048482.1,942392808.1,3427597.226,205002197,35000000,-30350893.97,3300000,37000033.84,242940245.4,6450313.47,30333811.03,208263553.7,38865046.98,4795524.854,46203432.47,34418674.79,19268671.48,10337.072,6861125.49,11682631.55,76554326.44,7338385.49,37938048.44,182000000,258016.93,-155382631.6,275976276.3,295244947.8,938014.6,38300000,32909076.45,193682631.6,54187206.49,708436.02,36262892.46,36262892.46,121122248.6,122581317,3576119.21,88850730.64,85948443.79,118385334,180971461.7,3860501.41,27102243.21,32510411.06,115483047.1,514568.94,2877188.46,-2902286.85,5639201.43,1418119.99,-2902286.85,94648807.11,0
242262,2,2,1,1,1461511656,3575500.8,464567484.9,121535360.1,176905002.9,72549777.64,32294397.08,2493767543,349825466.7,466629509.3,6308456730,488896617.9,53160302.02,2032297649,180641825.3,111187460.2,146543596.7,9816036640,12309804183,550530413.4,1388749297,4398046207,270622707.2,-13787519.68,319934647.2,6542588824,141665171.7,1425325746,7967914570,1382129269,1623440149,133956838,1160266867,4299793123,42096490.69,4341889613,12309804183,613206906.8,-2321676329,380000000,3206799363,140446072,2187900,203846545.5,1766619624,1328208635,1360756.16,7099483873,10423997.72,7905133915,6860000,50241402.75,7510309.66,256577519.6,225327702.8,4698334552,795226044,2525522875,1130000000,330789.31,-834881630.8,1411270253,1461511656,2428922624,520446072,1346928773,1355327703,743285558.7,12440226.49,5818345230,5818345230,528482178.4,521657333.3,30051290.87,403071546.9,407574490.6,403071546.9,52915191.16,148454866,1607944175,2623576038,407574490.6,196291159.2,5301706.1,4502943.7,120907687.8,12126551.16,4502943.7,5349603088,0
249234,2,2,2,1,193006271.3,18156836.21,101931917.2,1721978.49,2469230.88,34039380.83,3308395.444,354134545.6,28040000,39350432.76,26559716.72,7047307.71,1771246.07,54385932.87,1167778.94,2041070.5,6506160.528,85925745.1,440060290.7,16009097.7,24272999.75,1385696.41,4371798,3714757.77,1839083.32,42984938.38,3126453.274,2354453.274,42984938.38,80000000,173612802.2,13044682.65,107313405.1,373988429.9,23086922.38,397075352.3,440060290.7,2981845.81,-23875561.27,46165468.03,16514627.25,1251000,20496000,10295187.4,132905991.7,23280496.37,23956000,227810898.1,8018819.05,242218574,3222200,-14180189.42,-70255.4,26225884.12,8000000,225703946.7,6388856.87,23875561.27,26134464.49,25306.198,-6749000,207186460.7,193006271.3,3379561.27,1251000,43291574.59,8000000,38284775.39,6006246.916,202774453.7,202774453.7,37378863.69,29772284.99,979676.46,28031650.11,32036547.92,28014110.11,6006246.916,-5034995.74,11890879.22,124839640.8,32019007.92,2042192.61,207084.94,4004897.81,5359855.77,7813663.64,4004897.81,173002168.7,0
266394,4,4,4,1,73200500,2912500,59273800,25200,5014300,3858500,2976200,147261100,0,1249587.408,1818200,10804100,6426100,0,225200,1050900,0,20324400,167585500,0,23408200,1985000,5964700,358400,3142200,36729800,5166700,14524500,51254300,60000000,33222700,2390700,20523500,116136900,194300,116331200,167585500,39100000,-12052600,38656000,14734000,30000000,33733742.6,115500,26356600,23282600,35800000,113374100,4060200,131664000,559343.498,38521100,0,21669300,328300,116930000,14229600,12168100,29488000,115500,35839700,32403300,70924400,12168100,104756000,45621500,68916300,44218600,43535.042,139832000,139832000,42830900,29616600,1828500,43939300,43798900,43939300,701630.354,608200,12374200,49311300,43798900,1874600,243500,-140400,-968000,13457700,-140400,110215400,0
266963,3,3,2,1,10056644.14,112216288,134038713.2,13251335.56,2136267.89,129746161.4,2588840.13,404034250.3,21288000,8328940.268,89706731.6,349168.47,51789011.96,8345674.656,1420046.3,1219938.53,8377634.448,144484896.9,548519147.1,49000000,39566005.69,5230996.16,5283153.26,3549246.33,22965587.91,125795046.4,7074557.734,550000,126345046.4,305370000,11490288.9,41804074.64,33670699.11,421662141.4,511959.41,422174100.8,548519147.1,520000,22444220.26,49000000,-73599179.82,79038811.4,18543825.16,27984675.5,631177649,25567857.86,7432969.02,681706512.6,571908.408,683091765.9,444074.464,-93047456.97,-1135528.004,46585355.83,5372497.41,756690945.7,1385253.3,5540455.24,85000000,7390864,-41892497.41,103104101.1,10056644.14,5540455.24,49000000,53360083,90892497.41,51120570.2,244971.96,982474238.8,982474238.8,12249721.56,11611892.89,38231209.47,5901055.3,5946294.74,5901055.3,567471.566,16079149.36,4577700.17,858308889.4,5946294.74,2544827.3,1124704.16,45239.44,6303426.82,1762532.83,45239.44,970862345.9,0
286880,3,3,2,1,101840380.1,42275045.76,98568627.6,38882070.17,4443790.4,47272886.9,38052648.57,371335449.5,32839431.68,11365572.31,102052551,107482668.5,110761257.5,40118700.39,3979594.69,1186782.04,12178997.49,322054570.2,693390019.7,50000000,37954526.01,5650230.72,2307461.42,5813951.41,1441061.41,155395551.4,35436900,35436900,190832451.4,40000000,263565736.1,18905068.95,155011763.2,477482568.3,25075000,502557568.3,693390019.7,8169785.75,-218153094.2,66947525.8,74321852.53,40186077.36,38000000,26224631.38,232992399.3,44471020.83,54189750,338374495.5,4563332.21,389166130.2,1340679.228,-110277254.3,-382082.7,23756657.1,16894144.11,314844277.6,50791634.67,244377725.6,16947525.8,176717.934,33936070.14,180136057.3,69858803.03,166884238.5,75947525.8,13624200.36,42011455.66,16172630.3,-283918.826,498278058.3,498278058.3,69436547.77,49418608.87,1939153.1,59483261.7,59558261.7,59483261.7,52648.57,605237.32,15129981.8,411708316,59558261.7,3356779.47,36567.8,75000,9878286.07,20054506.7,75000,448912098,0
307111,5,5,1,1,442558231.1,44104844.85,232893067.8,9067844.12,14213940.96,254734408.9,1496274.71,999068612.4,18362453.81,5578067.26,373502957.5,51615957.77,215021532.1,265720609.3,950443.834,7028458.88,278091.92,731151185.2,1730219798,80000000,387965060.9,50711360.27,1456777.33,15668796.1,7400312.47,565684342.8,56319938.25,97080732.94,662765075.7,408548455,261881882.3,49921656.32,272201526,992553519.6,74901202.38,1067454722,1730219798,9685017.466,-54257446.88,190000000,90879590.95,26950000.91,43488009.16,14972639.37,823054304.8,84465725.93,50179991.25,1217316691,2481638.66,1240957901,21648067.61,-20642361.03,-1681420.91,45957800.55,7533085.1,1150078310,21159572.25,69230086.25,265000000,158533.05,-55583084.19,463200592.1,442558231.1,69230086.25,216950000.9,196600479.2,272533085.1,204199050.4,18489955.89,1340409715,1340409715,1069623.42,-17447927.1,13376225.03,7612050.29,3492503.66,7612050.29,24121719.77,2434815.08,11843238.57,1114984987,3492503.66,11019325.35,478045.93,-4119546.63,-2422880.24,18995596.45,-4119546.63,1357857642,0
312872,2,2,2,1,268411020,46952799.68,440001684.5,43884786.96,11194408.8,164271018.8,21908707.84,974715718.7,39042860.87,105124102.7,469475556.5,43157378.79,91663963.01,160431046.9,56800,3113620.88,3000000,610545976,1585261695,210000000,156178629.9,22316533.91,7942018.47,-16709127.87,5929434.72,477924163.8,31395495.57,95833333.59,573757497.4,416800000,455762819.8,22605403.17,116183410.6,1011351634,152563.79,1011504197,1585261695,5594620.5,-93308488.38,236242965.7,-107279662.3,348885000,3000000,24198398,610402091.6,127880385.9,44244475,633813777.9,8291845.84,736256371.5,365322.05,33109524.26,-653409.95,28250826.66,46014295.16,843536033.8,102442593.6,117506886.4,306467965.1,20000,234351084.9,207391567.4,240501091.6,106506886.4,592427965.7,77002729.65,358076880.8,63317917.38,1962541.4,693641669.3,693641669.3,7932592.97,-3643872.93,-5710010.34,2931410.02,2724625.6,2931410.02,2327863.45,22137762.2,34644581.73,582464900.9,2724625.6,2758253.83,461899.92,-206784.42,5207967.37,12038365.82,-206784.42,699613405.7,0
